iter	Accuracy	Logloss
423	0.7158854365	0.5902539491
424	0.7158854365	0.5902539491
425	0.7158854365	0.5902539491
426	0.7158854365	0.5902539491
427	0.7158854365	0.5902539488
428	0.7158854365	0.5902539488
429	0.7158854365	0.5902539488
430	0.7158854365	0.5902539488
431	0.7158854365	0.5902539488
432	0.7158854365	0.5902539488
433	0.7158854365	0.5902539488
434	0.7158854365	0.5902539488
435	0.7158854365	0.5902539488
436	0.7158854365	0.5902539488
437	0.7158854365	0.5902539488
438	0.7158854365	0.5902539488
439	0.7158854365	0.5902539488
440	0.7158854365	0.5902539488
441	0.7158854365	0.5902539488
442	0.7158854365	0.5902539488
443	0.7158854365	0.5902539487
444	0.7158854365	0.5902539487
445	0.7158854365	0.5902539487
446	0.7158854365	0.5902539487
447	0.7158854365	0.5902539487
448	0.7158854365	0.5902539487
449	0.7158854365	0.5902539487
450	0.7158854365	0.5902539487
451	0.7158854365	0.5902539487
452	0.7158854365	0.5902539487
453	0.7158854365	0.5902539487
454	0.7158854365	0.5902539487
455	0.7158854365	0.5902539487
456	0.7158854365	0.5902539487
457	0.7158854365	0.5902539487
458	0.7158854365	0.5902539485
459	0.7158854365	0.5902539485
460	0.7158854365	0.5902539485
461	0.7158854365	0.5902539485
462	0.7158854365	0.5902539485
463	0.7158854365	0.5902539485
464	0.7158854365	0.5902539485
465	0.7158854365	0.5902539485
466	0.7158854365	0.5902539485
467	0.7158854365	0.5902539485
468	0.7158854365	0.5902539484
469	0.7158854365	0.5902539484
470	0.7158854365	0.5902539484
471	0.7158854365	0.5902539482
472	0.7158854365	0.5902539481
473	0.7158854365	0.5902539481
474	0.7158854365	0.5902539481
475	0.7158854365	0.5902539481
476	0.7158854365	0.5902539481
477	0.7158854365	0.5902539481
478	0.7158854365	0.5902539481
479	0.7158854365	0.5902539481
480	0.7158854365	0.5902539481
481	0.7158854365	0.5902539481
482	0.7158854365	0.5902539481
483	0.7158854365	0.5902539481
484	0.7158854365	0.5902539481
485	0.7158854365	0.5902539479
486	0.7158854365	0.5902539479
487	0.7158854365	0.5902539479
488	0.7158854365	0.5902539479
489	0.7158854365	0.5902539479
490	0.7158854365	0.5902539478
491	0.7158854365	0.5902539478
492	0.7158854365	0.5902539475
493	0.7158854365	0.5902539475
494	0.7158854365	0.5902539475
495	0.7158854365	0.5902539475
496	0.7158854365	0.5902539475
497	0.7158854365	0.5902539475
498	0.7158854365	0.5902539475
499	0.7158854365	0.5902539475
500	0.7158854365	0.5902539475
501	0.7158854365	0.5902539475
502	0.7158854365	0.5902539475
503	0.7158854365	0.5902539475
504	0.7158854365	0.5902539475
505	0.7158854365	0.5902539475
506	0.7158854365	0.5902539475
507	0.7158854365	0.5902539475
508	0.7158854365	0.5902539475
509	0.7158854365	0.5902539475
510	0.7158854365	0.5902539475
511	0.7158854365	0.5902539475
